GGXWDN_NGDP	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Comoros	NA	NA	NA	NA	240.962	228.916	217.288	205.637	194.542	188.149	173.840	160.370	157.152	147.544	148.903	131.739	128.447	121.400	117.322	107.861	101.939	89.705	81.666	74.824	72.797	67.526	65.651	61.794	57.489	53.527	50.324	46.132	42.541	18.146	24.501	24.670	25.682	26.040	26.033	23.621	21.860
Democratic Republic of the Congo																																									
Republic of Congo																																									
Costa Rica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.011	22.219	31.386	26.597	36.578	38.611	40.785	39.996	41.035	37.470	33.311	27.552	24.783	27.233	29.142	30.605	35.179	36.299	39.710	43.979	46.279	48.041	49.593	51.308	52.826
Côte d'Ivoire																																									
Croatia																																									
Cyprus																																									
Czech Republic																																									
Denmark	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.162	37.977	36.416	37.645	30.637	25.515	21.961	21.051	18.391	14.184	9.461	1.119	-4.614	-6.667	-5.909	-3.290	1.129	6.695	3.397	3.626	6.283	8.813	10.834	12.287	13.202	13.605
Djibouti																																									
Dominica																																									
Dominican Republic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.254	12.700	15.268	15.855	15.581	16.536	34.108	22.500	21.290	19.424	17.519	19.603	22.729	23.753	25.750	30.464	34.604	34.990	33.262	34.642	36.232	37.129	38.094	39.017
Ecuador																																									
Egypt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.374	73.212	71.017	71.065	71.366	64.489	55.564	58.746	60.033	64.488	67.901	78.116	81.865	82.552	82.797	79.129	76.679	74.931	73.117
El Salvador																																									
Equatorial Guinea																																									
Eritrea																																									
Estonia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.176	-0.101	-0.064	-0.094	-0.097	-2.236	-4.295	-6.302	-7.700	-8.662	-9.708	-9.510	-6.773	-8.220	-6.884	-5.125	-1.509	-0.255	-0.208	0.505	1.002	1.400	1.774	2.139	2.373
Ethiopia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85.298	136.736	150.511	142.183	128.816	77.853	86.611	94.849	90.825	92.685	107.874	107.448	98.165	67.265	29.028	28.682	25.379	20.892	23.301	20.362	15.796	15.974	17.655	17.630	19.214	20.379	21.383	22.221	22.844
Fiji	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45.714	46.514	49.499	50.194	51.036	55.379	36.706	32.353	37.861	42.512	45.391	46.849	46.428	46.084	52.003	47.505	47.493	52.280	52.132	49.944	48.438	45.913	45.629	47.413	44.303	43.145	41.750	41.079	40.397
