GGXWDN_NGDP	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
St. Vincent and the Grenadines	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.942	57.038	53.986	52.495	57.790	50.715	43.870	41.915	42.466	56.937	57.752	55.387	55.296	52.257	60.348	64.097	63.561	55.030	53.953	60.456	63.301	65.328	69.085	70.535	75.054	75.172	76.074	75.698	74.306	72.632	71.200
Sudan																																									
Suriname																																									
Swaziland	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.580	14.459	13.843	13.735	13.342	17.420	18.006	18.885	18.908	17.390	16.344	11.455	7.429	5.162	-1.207	-5.918	-4.496	3.981	6.385	4.660	3.300	2.836	7.609	13.933	19.486	23.330	27.234	31.179
Sweden	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.159	14.894	13.070	13.598	12.581	11.224	6.287	1.115	1.582	7.433	4.728	3.224	-1.203	-12.025	-16.244	-11.624	-18.201	-17.193	-14.051	-17.906	-20.175	-20.722	-18.416	-16.916	-15.811	-15.095	-14.827	-14.977
Switzerland	NA	NA	NA	35.126	34.674	33.522	32.777	31.698	30.017	27.919	13.485	14.658	18.314	21.124	23.695	25.672	27.752	29.578	30.673	34.719	34.849	35.729	39.697	39.818	45.730	42.689	37.468	30.181	28.457	27.885	27.296	27.362	26.861	25.719	24.920	24.851	24.185	23.245	22.014	20.820	19.612
Syria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	173.297	163.215	151.503	148.736	136.865	123.898	109.333	111.647	115.287	107.641	112.850	105.766	95.696	95.147	85.380	31.240	28.817	27.041	21.688	17.937	18.807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Taiwan Province of China	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.064	17.531	21.776	24.285	28.127	27.757	30.146	31.411	32.033	31.239	30.174	31.386	34.718	34.864	36.421	37.399	37.253	36.003	36.661	36.150	35.072	33.750	32.098	30.233
Tajikistan																																									
Tanzania																																									
Thailand																																									
Timor-Leste																																									
Togo																																									
Tonga																																									
Trinidad and Tobago	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46.574	47.217	50.524	44.602	34.624	24.300	14.851	10.647	5.026	9.875	10.529	8.775	15.647	14.307	15.229	18.113	24.098	30.000	35.294	40.686	46.095
Tunisia																																									
Turkey	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.740	47.047	44.274	44.771	62.510	57.537	75.975	70.575	63.970	55.017	45.972	38.978	32.710	32.540	37.532	34.743	31.315	27.776	27.345	25.103	24.115	24.979	26.616	28.468	31.008	34.020
Turkmenistan																																									
Tuvalu																																									
Uganda																																									
Ukraine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45.464	58.158	42.497	33.956	30.662	26.104	22.528	13.399	11.306	9.710	17.548	30.799	38.530	34.510	35.333	38.437	69.668	88.829	88.883	85.014	79.880	74.645	68.708
United Arab Emirates	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-344.208	-295.494	-310.915	-308.206	-289.531	-262.469	-241.256	-222.391	-215.129	-203.041	-247.101	-227.970	-201.553	-208.991	-216.112	-223.222	-267.283	-260.149	-249.588	-241.221	-235.731	-230.233
United Kingdom	43.741	46.494	46.499	45.117	45.731	45.304	44.183	41.170	36.998	31.158	27.851	26.876	28.411	33.072	38.554	42.788	46.016	42.733	40.275	38.318	32.679	31.431	31.550	33.299	36.084	37.478	37.946	38.324	45.708	58.838	69.068	73.382	77.080	78.745	80.859	80.341	79.483	78.146	76.008	72.737	69.250
United States	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.776	36.356	39.733	46.890	46.270	44.741	44.459	50.418	62.042	69.504	75.951	79.345	80.829	80.108	79.932	80.690	80.290	79.890	80.316	81.180
Uruguay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.985	75.699	71.057	61.201	50.723	47.443	37.808	31.612	30.727	30.595	28.291	25.294	24.181	22.493	23.036	24.315	25.784	26.414	26.725	26.990
Uzbekistan																																									
Vanuatu																																									
Venezuela																																									
Vietnam	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.799	28.001	30.734	33.113	37.446	36.542	38.407	40.897	39.419	45.167	48.084	46.540	48.611	52.590	57.188	61.215	63.719	66.095	67.120	67.889	68.118
Yemen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	119.301	93.994	56.422	54.377	49.960	52.167	45.466	37.065	32.999	35.236	31.422	43.633	38.275	42.340	45.276	46.712	47.788	65.923	59.739	59.029	61.154	64.519	67.870
Zambia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.889	21.893	21.737	23.921	19.262	13.093	21.604	17.601	16.284	16.466	15.944	16.229	19.989	25.105	29.465	37.679	42.024	43.972	45.297	44.956	44.091
Zimbabwe																																									
