"Data Source","World Development Indicators",

"Last Updated Date","2015-07-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Bosnia and Herzegovina","BIH","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6354786371011","5.18613242398409","75.954859159679","16.8801162413326","11.5201168478601","12.1714657548549","20.1805397650197","15.1031189462403","15.0144518163306","11.440616774975","12.3366860124798","","","6.57022058767027","6.64440183178372","8.9092608163614","10.6566343685377","19.1851840087147","19.5937150566787","40.7548518783124","25.2243645811159","","",
"Belize","BLZ","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.0634305774119","28.6434802063992","32.9662408324177","35.332753977533","37.1741210916313","36.3172531084094","38.8390967411845","","","","","","","","","","","","","82.0043797211915","80.167899034971","76.8742229350044","74.4711450577822","","",
"Bermuda","BMU","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.7085141443027","74.0648608922742","84.3027931877445","96.5023753458554","","","","",
"Brunei Darussalam","BRN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.1880192526389","47.4653512960086","45.4804885550539","39.3324210003702","32.9392012291965","27.08988148767","36.299846850237","30.7408747223376","29.969266259208","34.3907413132198","39.1259100037186","69.9474057236416","56.368965196401","68.7892850163564","75.2359487498992","79.5339171539796","74.8832369378622","62.7952543120532","60.4102550051147","56.7763136832133","","","","","",
"Botswana","BWA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3711032492715","12.1168020575228","12.5321505732804","12.4450599461028","12.0423976352474","10.972076070214","11.1567555492122","","","","","","","","","","","","","","21.6304315574328","19.8577753909581","18.71509351429","","",
"Central African Republic","CAF","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
